Nom,Description,Dégâts,Exemplaires,Faction,Image,Poids(kg),Prix (Ru),Rang
Rame,"Conçu dans un bois résistant, cet outil que l'on trouve dans toute bonne embarcation est aussi assez efficace comme moyen de défense.",4,∞,Atlas,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_ls20k3ls20k3ls20.png,5,1200,E
Hache de bûcheron,Les bûcherons des montagnes apprécient particulièrement cet outil conçu pour abattre les plus gros arbres en un rien de temps.,9,∞,Atlas,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_jgbduajgbduajgbd.png,6,2700,D
Bouclier Valorien,Les voyageurs s'équipent souvent de ce bouclier fait de cuir et de bois robuste pour se protéger des attaques de bêtes sauvages ou de monstres peu puissants. ,4,∞,Toutes les factions,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_r15el0r15el0r15e.png,"2,5",1200,D
Branche d’arbre,"On peut trouver partout des branches d'arbre comme celle-ci. Elle est très agréable à manier, et peut tout à fait servir d'arme une fois équipée. En contact avec du feu, leur attaque est de 3 pour une résistance de 1.",2,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_m7ruemm7ruemm7ru.png,"0,4",600,E
Torche,"Allumez cette torche pour qu’elle brûle sans s’arrêter, ou tout du moins, jusqu’à ce que vous la rangiez. Allumée, l'attaque est de 3.",2,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_m02kr1m02kr1m02k.png,"0,4",600,E
Louche à Soupe,"Cet ustensile, qui sert aussi bien à servir la soupe qu'à cuisiner, a été taillé dans un bois très solide, ce qui peut faire assez mal quand il est utilisé en tant qu'arme.",3,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_19rmxv19rmxv19rm.png,"0,5",900,D
Épée de voyageur,"Cette épée est la marque de fabrique d'Elaine. souvent utilisée en pour se défendre contre les animaux sauvages. Peu solide, sa lame n’est pas très utile contre les montres, malheureusement.",4,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_3ky4u03ky4u03ky4.png,"1,2",1200,D
Épée de Soldat,Les soldats du château se servent de cette épée au bon tranchant pour affronter les monstres. La lame en métal bénéficie d'une excellente résistance.,5,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_jya1wtjya1wtjya1.png,"1,2",1500,D
Épée de Chevalier,La facilité d'utilisation et la grande puissance de l'arme de prédilection des chevaliers du château d'Hyrule en font aujourd'hui une épée très appréciée des aventuriers aguerris.,6,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_g01llog01llog01l.png,"1,4",1800,C
Hache du maître,"Cette hache à double tête purement conçue pour le combat et si lourde qu'elle nécessite une technique rodée pour la maîtriser, ce qui explique son nom.",15,∞,Atlas,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_ju690xju690xju69.png,12,4500,C
CRYONIA ❄️,Cette épée magique aurait été forgée avec du minerai qui repose sous la neige éternelle de la chaîne Lara. Elle libère une fois tous les 4 tours un souffle glacé qui gèle tout ce qui entre en contact avec elle. Force de gel : 9,25,∞,Atlas,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_4ejbck4ejbck4ejb.png,15,75000,A
Espadon Valorien,Cette épée est très appréciée des voyageurs qui tirent parti de son poids important pour envoyer voler le bouclier de l'ennemi qui tenterait de se protéger. ,6,∞,Atlas,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_s9m56rs9m56rs9m5.png,2,1800,D
